index,Trip ID,Trip Start Timestamp,Trip End Timestamp,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Fare,Tip,Additional Charges,Trip Total,Shared Trip Authorized,Trips Pooled,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Filled Trip Seconds,Trip Day Of Week,Trip Month,Time Of Day,Average Velocity (miles/h),Distance to nearest Bus Stop (in Miles),ID,Total Population,Number of female,Share Of Female,Share of People Over 65,Median Age,Household,Date Only,Date,Average Temperature (°F),Average Humidity (%),Average Wind Speed (mph),Average Pressure (in),Total Precipitation (in)
2768439,68082cee23fced89f02d90e117e6230873c2931a,2021-01-23,2021-01-23 00:15:00,2.8,071500,063200,10.0,0.0,1.23,11.23,False,1.0,41.9146162864,-87.6317173661,41.9383912577,-87.6385749205,426.0,Saturday,1,Night,0.023661971830985916,0.002868982139863682,071500,5991.0,3291.0,0.5493239859789685,0.12235019195459856,31.6,4294.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
1244830,4b4dc943337d39820bb00ed0866d1b654e41578f,2021-01-23,2021-01-23 00:15:00,3.8,080100,062100,10.0,0.0,3.1,13.1,False,1.0,41.9075200747,-87.6266589003,41.9426918444,-87.6517705068,696.0,Saturday,1,Night,0.019655172413793102,0.060858962493613424,080100,6607.0,3218.0,0.48705917965793855,0.00031466626305433636,56.8,4949.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
1197983,4a6dcd49901bd02f2075728a00349803cb9aad26,2021-01-23,2021-01-23 00:00:00,0.8,063302,063100,5.0,0.0,3.83,8.83,False,1.0,41.9347624564,-87.6398538587,41.938232293,-87.6467820813,230.0,Saturday,1,Night,0.012521739130434783,0.04123160326183246,063302,4102.0,2445.9999999999995,0.5962944904924427,0.09946367625548513,32.3,3147.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
201800,37b24a04a170e7eb2d127673b143e65779fd9e04,2021-01-23,2021-01-23 00:15:00,4.6,061100,081000,10.0,0.0,3.39,13.39,False,1.0,41.9491397709,-87.6568039088,41.9002656868,-87.6321092196,774.0,Saturday,1,Night,0.0213953488372093,0.09181704605202175,061100,1436.0,646.0,0.4498607242339833,0.004874651810584958,27.5,794000.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
441747,3c3211581598ce543b5fd104bdd938a2008f437c,2021-01-23,2021-01-23 00:15:00,8.3,081700,191100,15.0,0.0,3.1,18.1,False,1.0,41.8920421365,-87.6318639497,41.9195645564,-87.7509798603,1332.0,Saturday,1,Night,0.022432432432432432,0.03993150101714038,081700,5217.0,2667.0,0.511213341000575,0.05922944220816561,31.0,3927.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
453324,3c6a44e915d5373ce1682c5d14b4dc90f69b51b2,2021-01-23,2021-01-23 00:15:00,1.4,081700,071500,7.5,0.0,1.23,8.73,False,1.0,41.8920421365,-87.6318639497,41.9146162864,-87.6317173661,369.0,Saturday,1,Night,0.013658536585365852,0.03993150101714038,081700,5217.0,2667.0,0.511213341000575,0.05922944220816561,31.0,3927.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
869279,443f35bf7bc2dd6352b10d38ccd15e88af9dc67e,2021-01-23,2021-01-23 00:00:00,0.6,081700,081600,5.0,0.0,3.6,8.6,False,1.0,41.8920421365,-87.6318639497,41.8920726347,-87.6288741572,205.0,Saturday,1,Night,0.01053658536585366,0.03993150101714038,081700,5217.0,2667.0,0.511213341000575,0.05922944220816561,31.0,3927.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
1085779,485230f16979fff53a379a7b5e7ae3778adc4ed1,2021-01-23,2021-01-23 00:00:00,1.6,081700,833000,5.0,0.0,3.1,8.1,False,1.0,41.8920421365,-87.6318639497,41.8852813201,-87.6572331997,449.0,Saturday,1,Night,0.012828507795100223,0.03993150101714038,081700,5217.0,2667.0,0.511213341000575,0.05922944220816561,31.0,3927.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
2217561,5da59629bada8167f0b110b42889acda1c9003e6,2021-01-23,2021-01-23 00:00:00,1.2,081700,080400,5.0,0.0,3.1,8.1,False,1.0,41.8920421365,-87.6318639497,41.9074128162,-87.6409015248,352.0,Saturday,1,Night,0.012272727272727272,0.03993150101714038,081700,5217.0,2667.0,0.511213341000575,0.05922944220816561,31.0,3927.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
2469819,626ae2699bce99eb28095ce57281817bb08bff96,2021-01-23,2021-01-23 00:00:00,2.1,081700,071300,10.0,0.0,1.23,11.23,False,1.0,41.8920421365,-87.6318639497,41.9217783562,-87.6414597588,530.0,Saturday,1,Night,0.014264150943396229,0.03993150101714038,081700,5217.0,2667.0,0.511213341000575,0.05922944220816561,31.0,3927.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
2720878,6721d6dda253d261837ec515b949f5aac3c49445,2021-01-23,2021-01-23 00:00:00,1.0,081700,081403,5.0,0.0,3.1,8.1,False,1.0,41.8920421365,-87.6318639497,41.8909220259,-87.6188683546,327.0,Saturday,1,Night,0.011009174311926606,0.03993150101714038,081700,5217.0,2667.0,0.511213341000575,0.05922944220816561,31.0,3927.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
2884951,6a3b24d5da1db05fde60fd19db2df8d521db3497,2021-01-23,2021-01-23 00:15:00,5.1,081700,832000,10.0,0.0,3.1,13.1,False,1.0,41.8920421365,-87.6318639497,41.9462945357,-87.6542980837,715.0,Saturday,1,Night,0.025678321678321677,0.03993150101714038,081700,5217.0,2667.0,0.511213341000575,0.05922944220816561,31.0,3927.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
740309,41d04e4c9da750765ac7316431e27b45133900f6,2021-01-23,2021-01-23 00:00:00,1.2,081600,320100,5.0,0.0,3.33,8.33,False,1.0,41.8920726347,-87.6288741572,41.8849871918,-87.6209929134,410.0,Saturday,1,Night,0.01053658536585366,0.04115755743688662,081600,3725.0,1708.0,0.4585234899328859,0.06818791946308725,31.3,3213.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
2275642,5ebe1713b2aca75d4677114938d254d5dc7e5a40,2021-01-23,2021-01-23 00:00:00,0.8,081600,839100,5.0,0.0,3.1,8.1,False,1.0,41.8920726347,-87.6288741572,41.8809944707,-87.6327464887,248.0,Saturday,1,Night,0.011612903225806452,0.04115755743688662,081600,3725.0,1708.0,0.4585234899328859,0.06818791946308725,31.3,3213.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
2526731,637c23585cb5e4cd945d0813030e39de26d20fd4,2021-01-23,2021-01-23 00:00:00,1.3,081600,080300,5.0,1.0,3.1,9.1,False,1.0,41.8920726347,-87.6288741572,41.9074919303,-87.6357600901,422.0,Saturday,1,Night,0.01109004739336493,0.04115755743688662,081600,3725.0,1708.0,0.4585234899328859,0.06818791946308725,31.3,3213.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
132651,3665a351567e1a9118298a2b14dcbe0ef041c9e4,2021-01-23,2021-01-23 00:15:00,3.8,063000,243400,15.0,0.0,1.23,16.23,False,1.0,41.9363101308,-87.6515625922,41.8925368719,-87.6598643178,889.0,Saturday,1,Night,0.015388076490438695,0.15658205447179796,063000,3280.0,1400.0,0.4268292682926829,0.03414634146341464,29.0,2000.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
206401,37c8f34e45eceaeea142f3c7d8c222c817f0dce8,2021-01-23,2021-01-23 00:00:00,4.5,081500,062200,10.0,0.0,3.1,13.1,False,1.0,41.8925077809,-87.6262149064,41.9425851797,-87.6566440918,646.0,Saturday,1,Night,0.025077399380804954,0.029680966677095424,081500,4906.0,2754.0,0.5613534447615165,0.12209539339584183,40.3,4496.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
478999,3ce743e6eea7439400e914a13c5b6d6c2013cc77,2021-01-23,2021-01-23 00:15:00,5.4,081500,060900,10.0,2.0,3.1,15.1,False,1.0,41.8925077809,-87.6262149064,41.949829346,-87.6439653703,833.0,Saturday,1,Night,0.02333733493397359,0.029680966677095424,081500,4906.0,2754.0,0.5613534447615165,0.12209539339584183,40.3,4496.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
3132330,6ee31a0d53cacc48bd96888c8dfdb94f9afcf69e,2021-01-23,2021-01-23 00:15:00,1.4,081500,080300,7.5,3.0,3.1,13.6,False,1.0,41.8925077809,-87.6262149064,41.9074919303,-87.6357600901,299.0,Saturday,1,Night,0.0168561872909699,0.029680966677095424,081500,4906.0,2754.0,0.5613534447615165,0.12209539339584183,40.3,4496.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
3260531,714e4d577f6f33eb3a79e28d21d955bf915db9a1,2021-01-23,2021-01-23 00:00:00,1.5,062200,070500,5.0,0.0,3.1,8.1,False,1.0,41.9425851797,-87.6566440918,41.9289459041,-87.6608925701,368.0,Saturday,1,Night,0.014673913043478261,0.01851434233480115,062200,3152.0,1426.0,0.45241116751269034,0.021890862944162436,29.8,1321.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
706670,412f22c0bb6d553a18d23d75dc6c202a5502838e,2021-01-23,2021-01-23 00:00:00,3.3,063200,210900,7.5,0.0,3.6,11.1,False,1.0,41.9383912577,-87.6385749205,41.9354389148,-87.693325868,784.0,Saturday,1,Night,0.015153061224489797,0.04030671974534849,063200,6380.0,2858.0,0.4479623824451411,0.00015987460815047023,32.6,4741.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
1056989,47c8c4fdc8da5b3f3377193615d47304752d8bd6,2021-01-23,2021-01-23 00:00:00,1.9,071100,080300,12.5,0.0,1.23,13.73,False,1.0,41.9217781876,-87.6510618838,41.9074919303,-87.6357600901,314.0,Saturday,1,Night,0.02178343949044586,0.07261132678092626,071100,3186.0,1717.0000000000002,0.5389202762084119,0.07501569365976146,25.8,1335.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
